Name|Title|Description|Type|Section|Phase|Icon|Color|PossibleSolutions|RelatedConsecuences|RelatedProblems
Acidification|Acidificación y Compactación del suelo|Acidificación y Compactación del suelo|Acidification|Floor|0|Acidification_sprite|#FFFFFF|Type_10,Type_11,Type_12,|Desertification,Agriculture_Production_Worsening,Water_Retention_Rates|Invertebrate_Species_Loss,
Aquatic_Habitat_Fragmentation|Aquatic Habitat Fragmentation|Aquatic_Habitat_Fragmentation|Aquatic_Habitat_Fragmentation|Wildlife|-1|Aquatic_Habitat_Fragmentation_sprite|#FFFFFF|||
Ashes|Reducción de materia orgánica y presencia de cenizas|Reducción de materia orgánica y presencia de cenizas|Ashes|Floor|0|Ashes_sprite|#FFFFFF||Biodiversity_Loss,Soil_Degradation,Fire_Rate_Increase,Erosion_Increase,|
Coral_Death|Blanqueo y mortalidad de los corales|Blanqueo y mortalidad de los corales|Coral_Death|Wildlife|1|Coral_Death_sprite|#FFFFFF||Biodiversity_Loss,Coral_Habitat_Degradation|
Coral_Structure_Damage|Daño a las estructuras de los corales|Daño a las estructuras de los corales|Coral_Structure_Damage|Wildlife|0|Coral_Structure_Damage_sprite|#FFFFFF||Biodiversity_Loss,Coral_Habitat_Degradation|Water_Species_Decrease
Herbivore_Increase|Aumento de la población de herbívoros|Aumento de la población de herbívoros.|Herbivore_Increase|Wildlife|0|Herbivore_Increase_sprite|#FFFFFF||Biodiversity_Loss,Ecosystem_Structure_Alterations,|Vegetation_Loss_Herbivores,
Invertebrate_Species_Loss|Reducción de cantidad de invertebrados del suelo|Reducción de cantidad de invertebrados del suelo |Invertebrate_Species_Loss|Wildlife|1|Invertebrate_Species_Loss_sprite|#FFFFFF|Type_16,Type_17,Type_18,|Biodiversity_Loss,|
Native_Species_Loss|Disminución de especies de animales|Disminución de especies de animales|Native_Species_Loss|Wildlife|2|Native_Species_Loss_sprite|#FFFFFF|Type_07,Type_08,Type_09,|Biodiversity_Loss,|
Organic_Material_Loss|Disminución de raíces y materia orgánica|Disminución de raíces y materia orgánica|Organic_Material_Loss|Floor|0|Organic_Material_Loss_sprite|#FFFFFF||Soil_Degradation,Desertification,|
Pesticides|Pesticides|Pesticides|Pesticides|Floor|-1|Pesticides_sprite|#FFFFFF|||
Predators_Decrease|Reducción o Extinción de Depredadores|Reducción o Extinción de Depredadores|Predators_Decrease|Wildlife|1|Predators_Decrease_sprite|#FFFFFF||Biodiversity_Loss,Ecosystem_Structure_Alterations,|Herbivore_Increase,
Salinization_Increase|Salinization Increase|Salinization_Increase|Salinization_Increase|Floor|-1|Salinization_Increase_sprite|#FFFFFF|||
Sediment_Increase|Aumento de sedimentos (Turbidez del agua)|Aumento de sedimentos (Turbidez del agua)|Sediment_Increase|Floor|1|Sediment_Increase_sprite|#FFFFFF||Coral_Habitat_Degradation,Water_Quality_Decrease,|
Soil_Compactation|Soil Compactation|Soil_Compactation|Soil_Compactation|Floor|-1|Soil_Compactation_sprite|#FFFFFF|||
Soil_Roots_Disminution|Soil Roots Disminution|Soil_Roots_Disminution|Soil_Roots_Disminution|Floor|-1|Soil_Roots_Disminution_sprite|#FFFFFF|Type_01,Type_02,Type_03,||
Species_Diversity_Loss|Species Diversity Loss|Species_Diversity_Loss|Species_Diversity_Loss|Wildlife|1|Species_Diversity_Loss_sprite|#FFFFFF||Biodiversity_Loss,|Organic_Material_Loss,Native_Species_Loss,
Toxic_Acumulation|Toxic Acumulation|Toxic_Acumulation|Toxic_Acumulation|Floor|-1|Toxic_Acumulation_sprite|#FFFFFF|||
Vegetation_Cover_Reduction|Reducción de la cobertura vegetal|Reducción de la cobertura vegetal|Vegetation_Cover_Reduction|Plantlife|2|Vegetation_Cover_Reduction_sprite|#FFFFFF||Biodiversity_Loss,|Organic_Material_Loss,Soil_Roots_Disminution,Native_Species_Loss,
Vegetation_Dependant_Species_Loss|Vegetation Dependant Species Loss|Vegetation_Dependant_Species_Loss|Vegetation_Dependant_Species_Loss|Plantlife|2|Vegetation_Dependant_Species_Loss_sprite|#FFFFFF|Type_04,Type_05,Type_06,|Organic_Material_Loss,Soil_Roots_Disminution,Native_Species_Loss|Organic_Material_Loss,Soil_Roots_Disminution,Native_Species_Loss,Species_Diversity_Loss,
Vegetation_Loss|Reducción de especies nativas de plantas|Reducción de especies nativas de plantas|Vegetation_Loss|Plantlife|1|Vegetation_Loss_sprite|#FFFFFF|Type_04,Type_05,Type_06,|Biodiversity_Loss,|Organic_Material_Loss,Native_Species_Loss,
Water_Species_Behaviour_Changes|Cambios en el comportamiento de especies marinas|Cambios en el comportamiento de especies marinas|Water_Species_Behaviour_Changes|Wildlife|2|Water_Species_Behaviour_Changes_sprite|#FFFFFF||Biodiversity_Loss,|
Water_Species_Decrease|Disminución en la población de especies acuaticas|Disminución en la población de especies acuaticas|Water_Species_Decrease|Wildlife|-1|Water_Species_Decrease_sprite|#FFFFFF||Biodiversity_Loss,Trophic_Chain_Alterations,|
Water_Temp_Rise|Incremento de la temperatura del agua|Incremento de la temperatura del agua|Water_Temp_Rise|Floor|0|Water_Temp_Rise_sprite|#FFFFFF||Biodiversity_Loss,Aquatic_Disease_Increase,|Water_Species_Behaviour_Changes,Coral_Death
Vegetation_Loss_Herbivores|Degradación de la vegetación (por exceso de herbívoros)|Degradación de la vegetación (por exceso de herbívoros)|Vegetation_Loss_Herbivores|Plantlife|1|Vegetation_Loss_Herbivores_sprite|#FFFFFF||Biodiversity_Loss,Wildlife_Habitat_Degradation,|
